age_part,sex_part,age_cnt,sex_cnt,y,n,y_grp,s,m
0,M,73,F,0.0,8.0,5.0,1.0,0.0
0,M,74,M,0.0,8.0,5.0,1.0,0.0
0,M,74,F,0.0,8.0,5.0,1.0,0.0
0,M,75,M,0.0,8.0,5.0,1.0,0.0
0,M,75,F,0.0,8.0,5.0,1.0,0.0
0,M,76,M,0.0,8.0,5.0,1.0,0.0
0,M,76,F,0.0,8.0,5.0,1.0,0.0
0,M,77,M,0.0,8.0,5.0,1.0,0.0
0,M,77,F,0.0,8.0,5.0,1.0,0.0
0,M,78,M,0.0,8.0,5.0,1.0,0.0
0,M,78,F,0.0,8.0,5.0,1.0,0.0
0,M,79,M,0.0,8.0,5.0,1.0,0.0
0,M,79,F,0.0,8.0,5.0,1.0,0.0
0,M,80,M,0.0,8.0,5.0,1.0,0.0
0,M,80,F,0.0,8.0,5.0,1.0,0.0
0,M,81,M,0.0,8.0,5.0,1.0,0.0
0,M,81,F,0.0,8.0,5.0,1.0,0.0
0,M,82,M,0.0,8.0,5.0,1.0,0.0
0,M,82,F,0.0,8.0,5.0,1.0,0.0
0,M,83,M,0.0,8.0,5.0,1.0,0.0
0,M,83,F,0.0,8.0,5.0,1.0,0.0
0,M,84,M,0.0,8.0,5.0,1.0,0.0
0,M,84,F,0.0,8.0,5.0,1.0,0.0
0,F,0,M,0.0,5.0,5.0,1.0,0.0
0,F,0,F,0.0,5.0,5.0,1.0,0.0
0,F,1,M,0.0,5.0,5.0,1.0,0.0
0,F,1,F,0.0,5.0,5.0,1.0,0.0
0,F,2,M,0.0,5.0,5.0,1.0,0.0
0,F,2,F,0.0,5.0,5.0,1.0,0.0
0,F,3,M,0.0,5.0,5.0,1.0,0.0
0,F,3,F,0.0,5.0,5.0,1.0,0.0
0,F,4,M,0.0,5.0,5.0,1.0,0.0
0,F,4,F,0.0,5.0,5.0,1.0,0.0
0,F,5,M,0.0,5.0,5.0,1.0,0.0
0,F,5,F,0.0,5.0,5.0,1.0,0.0
0,F,6,M,0.0,5.0,5.0,1.0,0.0
0,F,6,F,0.0,5.0,5.0,1.0,0.0
0,F,7,M,0.0,5.0,5.0,1.0,0.0
0,F,7,F,0.0,5.0,5.0,1.0,0.0
0,F,8,M,0.0,5.0,5.0,1.0,0.0
0,F,8,F,0.0,5.0,5.0,1.0,0.0
0,F,9,M,1.0,5.0,5.0,0.16666666666666666,1.2000000000000002
0,F,9,F,0.0,5.0,5.0,1.0,0.0
0,F,10,M,0.0,5.0,5.0,1.0,0.0
